society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Cc3,Siwans,xd500,siwi1239,Siwi,Afro-Asiatic,MonthlyMeanPrecipitation,2410.032617,,,,
Cd2,Egyptians,xd518,egyp1253,Egyptian Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,2906.474282,,,,
SCCS43,Egyptians,xd518,egyp1253,Egyptian Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,2906.474282,,,,
Cc17,Delim,xd495,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanPrecipitation,3125.531863,,,,
Cd13,Hamama,xd511,sout3114,South-Western Tunisian,Afro-Asiatic,MonthlyMeanPrecipitation,3220.744021,,,,
Cc1,Regeibat,xd487,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanPrecipitation,3431.421984,,,,
Cd18,Saadi,xd516,said1239,Saidi Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,3524.985005,,,,
Cd6,Ancient Egyptians,xd524,egyp1246,Egyptian (Ancient),Afro-Asiatic,MonthlyMeanPrecipitation,3826.516988,,,,
Cd1,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,MonthlyMeanPrecipitation,3922.204634,,,,
Cd12,Algerians,xd510,algi1247,Algiers,Afro-Asiatic,MonthlyMeanPrecipitation,4188.006955,,,,
Ca34,Ababda,xd442,abab1239,Ababda,Afro-Asiatic,MonthlyMeanPrecipitation,4283.925756,,,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanPrecipitation,4431.068762,,,,
Cc11,Azjer,xd489,ghat1242,Ghat,Afro-Asiatic,MonthlyMeanPrecipitation,4451.64317,,,,
Cd11,Guanche,xd509,guan1277,Guanche,Afro-Asiatic,MonthlyMeanPrecipitation,4607.254854,,,,
Cd5,Shluh,xd523,susi1238,Susiua,Afro-Asiatic,MonthlyMeanPrecipitation,4976.777975,,,,
Cc2,Teda,xd498,teda1241,Tedaga,Saharan,MonthlyMeanPrecipitation,5033.014522,,,,
Ea6,Basseri,xd605,bass1257,Basseri,Indo-European,MonthlyMeanPrecipitation,5111.668628,,,,
Cd9,Tekna,xd527,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanPrecipitation,5417.620858,,,,
SCCS40,Teda,xd498,teda1241,Tedaga,Saharan,MonthlyMeanPrecipitation,5593.443941,,,,
Cc9,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,MonthlyMeanPrecipitation,5661.322682,,,,
SCCS41,Tuareg Ahaggar,xd506,hogg1238,Hoggar,Afro-Asiatic,MonthlyMeanPrecipitation,5723.953973,,,,
Cc19,Trarza,xd497,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanPrecipitation,5771.460649,,,,
Ci11,Kurd,xd576,cent1972,Central Kurdish,Indo-European,MonthlyMeanPrecipitation,5934.002198,,,,
Cc16,Chaambra,xd494,algi1247,Algiers,Afro-Asiatic,MonthlyMeanPrecipitation,5977.83614,,,,
Cd20,Sanusi,xd519,liby1240,Libyan Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,6402.920936,,,,
SCCS39,Barabra,xd507,kenu1236,Kenuzi-Dongola,Nubian,MonthlyMeanPrecipitation,6403.366568,,,,
Cj4,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,MonthlyMeanPrecipitation,6990.327135,,,,
Cj5,Mutair,xd591,sout3119,South Najdi,Afro-Asiatic,MonthlyMeanPrecipitation,7087.583723,,,,
Cb2,Wolof,xd469,nucl1347,Wolof,Atlantic-Congo,MonthlyMeanPrecipitation,7535.126693,,,,
Cj10,Madan,xd587,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,7696.788262,,,,
SCCS45,Babylonians,xd590,akka1240,Akkadian,Afro-Asiatic,MonthlyMeanPrecipitation,7852.637016,,,,
Cc12,Ifora,xd490,tadh1242,Tadhaq,Afro-Asiatic,MonthlyMeanPrecipitation,8215.245812,,,,
Cc4,Mzab,xd501,tumz1238,Tumzabt,Afro-Asiatic,MonthlyMeanPrecipitation,8274.747991,,,,
Ca5,Bisharin,xd453,bish1251,Bisharin,Afro-Asiatic,MonthlyMeanPrecipitation,8419.01874,,,,
Cc20,Zenaga,xd499,zena1248,Zenaga,Afro-Asiatic,MonthlyMeanPrecipitation,8595.382645,,,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,MonthlyMeanPrecipitation,8834.998586,,,,
Eb5,Turkmen,xd613,turk1304,Turkmen,Turkic,MonthlyMeanPrecipitation,9019.875271,,,,
Cc6,Kababish,xd503,nort3133,North Kordofan Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,9563.640933,,,,
Cb11,Midobi,xd460,mido1240,Midob,Nubian,MonthlyMeanPrecipitation,9641.011261,,,,
Ca35,Amarar,xd443,amar1281,Amara (Beja),Afro-Asiatic,MonthlyMeanPrecipitation,9698.06432,,,,
Ah25,Tigon,xd315,tigo1236,Tigon Mbembe,Atlantic-Congo,MonthlyMeanPrecipitation,9837.736982,,,,
SCCS44,Hebrews,xd589,anci1244,Ancient Hebrew,Afro-Asiatic,MonthlyMeanPrecipitation,11135.91106,,,,
Cc14,Daza,xd492,daza1242,Dazaga,Saharan,MonthlyMeanPrecipitation,11443.30355,,,,
Cc5,Kel Antessar,xd502,timb1263,Timbuktu,Afro-Asiatic,MonthlyMeanPrecipitation,11453.35587,,,,
Cc15,Drawa,xd493,susi1238,Susiua,Afro-Asiatic,MonthlyMeanPrecipitation,11866.99633,,,,
Ea7,Moghol,xd606,mogh1245,Mogholi,Mongolic,MonthlyMeanPrecipitation,12936.59997,,,,
SCCS46,Rwala,xd588,east2690,Eastern Egyptian Bedawi Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,13405.26359,,,,
Cd19,Sahel,xd517,sahi1245,Sahil,Afro-Asiatic,MonthlyMeanPrecipitation,13986.44746,,,,
Cj6,Jordanians,xd592,sout3123,South Levantine Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,14020.14122,,,,
Af31,Koro,xd210,ashe1269,Ashe,Atlantic-Congo,MonthlyMeanPrecipitation,14756.80192,,,,
Cc10,Asben,xd488,taya1257,Tayart Tamajeq,Afro-Asiatic,MonthlyMeanPrecipitation,14756.80192,,,,
WNAI92,Akwa’ala,xd1426,paip1241,Paipai,Cochimi-Yuman,MonthlyMeanPrecipitation,14864.8362,,,,
Nc34,Kiliwa,xd1134,kili1268,Kiliwa,Cochimi-Yuman,MonthlyMeanPrecipitation,14912.74012,,,,
B146,Kiliwa,xd1134,kili1268,Kiliwa,Cochimi-Yuman,MonthlyMeanPrecipitation,15078.85416,,,,
Cd16,Moroccans,xd514,sout3117,Southern Morocco Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,15133.91641,,,,
Cj3,Hebrews,xd589,anci1244,Ancient Hebrew,Afro-Asiatic,MonthlyMeanPrecipitation,15300.26346,,,,
WNAI91,Kiliwa,xd1134,kili1268,Kiliwa,Cochimi-Yuman,MonthlyMeanPrecipitation,15324.03036,,,,
Nh19,Cocopa,xd1269,coco1261,Cocopa,Cochimi-Yuman,MonthlyMeanPrecipitation,15707.05447,,,,
WNAI143,Cocopa,xd1269,coco1261,Cocopa,Cochimi-Yuman,MonthlyMeanPrecipitation,15707.05447,,,,
Nc6,Kumeyaay,xd1137,kumi1248,Tipai,Cochimi-Yuman,MonthlyMeanPrecipitation,15742.99389,,,,
Eb8,Uzbek,xd616,nort2690,Northern Uzbek,Turkic,MonthlyMeanPrecipitation,15751.19283,,,,
WNAI142,Kamia,xd1271,kumi1248,Tipai,Cochimi-Yuman,MonthlyMeanPrecipitation,16077.23033,,,,
Cd17,Nail,xd515,cons1245,Constantine,Afro-Asiatic,MonthlyMeanPrecipitation,16314.83106,,,,
B147,Kumeyaay,xd1137,kumi1248,Tipai,Cochimi-Yuman,MonthlyMeanPrecipitation,16631.7784,,,,
Nh20,Kamia,xd1271,kumi1248,Tipai,Cochimi-Yuman,MonthlyMeanPrecipitation,16674.88621,,,,
Ca38,Tigre,xd446,mans1267,Mansa',Afro-Asiatic,MonthlyMeanPrecipitation,16735.61476,,,,
WNAI141,Quechan,xd1273,quec1382,Quechan,Cochimi-Yuman,MonthlyMeanPrecipitation,16856.01373,,,,
Ca43,Hadendowa,xd452,hade1248,Hadendoa,Afro-Asiatic,MonthlyMeanPrecipitation,16926.60016,,,,
Nc31,Cahuilla (Desert),xd1131,cahu1264,Cahuilla,Uto-Aztecan,MonthlyMeanPrecipitation,17000.27817,,,,
WNAI90,Kumeyaay (Desert Diegueno),xd1137,kumi1248,Tipai,Cochimi-Yuman,MonthlyMeanPrecipitation,17000.27817,,,,
Ca36,Beni-Amer,xd444,mans1267,Mansa',Afro-Asiatic,MonthlyMeanPrecipitation,17358.22341,,,,
Cd7,Beraber,xd525,cent2194,Central Moroccan Berber,Afro-Asiatic,MonthlyMeanPrecipitation,17543.17879,,,,
SCCS1,Nama,xd3,nama1265,Nama,Khoe-Kwadi,MonthlyMeanPrecipitation,17684.0747,,,,
Nh22,Quechan,xd1273,quec1382,Quechan,Cochimi-Yuman,MonthlyMeanPrecipitation,17822.16531,,,,
Cj2,Rwala,xd588,east2690,Eastern Egyptian Bedawi Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,18260.46144,,,,
Cb23,Tukulor,xd473,pula1263,Pulaar,Atlantic-Congo,MonthlyMeanPrecipitation,18384.91566,,,,
Nc32,Cupeño,xd1132,cupe1243,Cupeño,Uto-Aztecan,MonthlyMeanPrecipitation,18475.75368,,,,
Nc33,Luiseño,xd1133,luis1253,Luiseno,Uto-Aztecan,MonthlyMeanPrecipitation,18475.75368,,,,
WNAI88,Kumeyaay (Mountain Diegueno),xd1437,kumi1248,Tipai,Cochimi-Yuman,MonthlyMeanPrecipitation,18475.75368,,,,
SCCS24,Songhai,xd480,koyr1242,Koyraboro Senni Songhai,Songhay,MonthlyMeanPrecipitation,18839.6494,,,,
SCCS58,Basseri,xd605,bass1257,Basseri,Indo-European,MonthlyMeanPrecipitation,18854.4264,,,,
WNAI85,Cahuilla (Desert),xd1131,cahu1264,Cahuilla,Uto-Aztecan,MonthlyMeanPrecipitation,18891.99227,,,,
WNAI87,Cahuilla (Mountain),xd1440,cahu1264,Cahuilla,Uto-Aztecan,MonthlyMeanPrecipitation,18891.99227,,,,
WNAI89,Kumeyaay (Western Diegueno),xd1137,kumi1248,Tipai,Cochimi-Yuman,MonthlyMeanPrecipitation,18902.46795,,,,
Cb3,Songhai,xd480,koyr1242,Koyraboro Senni Songhai,Songhay,MonthlyMeanPrecipitation,18973.92396,,,,
SCCS42,Riffians,xd521,tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Afro-Asiatic,MonthlyMeanPrecipitation,20103.00921,,,,
B145,Cupeño,xd1132,cupe1243,Cupeño,Uto-Aztecan,MonthlyMeanPrecipitation,20141.04851,,,,
WNAI83,Cupeño,xd1132,cupe1243,Cupeño,Uto-Aztecan,MonthlyMeanPrecipitation,20141.04851,,,,
SCCS21,Wolof,xd469,nucl1347,Wolof,Atlantic-Congo,MonthlyMeanPrecipitation,20853.1957,,,,
B144,Cahuilla (Desert),xd1131,cahu1264,Cahuilla,Uto-Aztecan,MonthlyMeanPrecipitation,21013.9124,,,,
Ea12,Qashqui,xd599,qash1240,Qashqa'i,Turkic,MonthlyMeanPrecipitation,21092.24288,,,,
Nh5,Maricopa,xd1281,mari1440,Maricopa,Cochimi-Yuman,MonthlyMeanPrecipitation,21143.92701,,,,
B150,Luiseño,xd1133,luis1253,Luiseno,Uto-Aztecan,MonthlyMeanPrecipitation,21189.14686,,,,
WNAI82,Luiseño,xd1133,luis1253,Luiseno,Uto-Aztecan,MonthlyMeanPrecipitation,21189.14686,,,,
B378,Inuvialuit,xd1019,sigl1242,Siglitun,Eskimo-Aleut,MonthlyMeanPrecipitation,21499.91732,,,,
Cd10,Zekara,xd508,chen1266,Western Algerian Berber,Afro-Asiatic,MonthlyMeanPrecipitation,21628.85785,,,,
Ag26,Susu,xd262,susu1250,Susu,Mande,MonthlyMeanPrecipitation,21880.14807,,,,
B143,Seri,xd1289,seri1257,Seri,,MonthlyMeanPrecipitation,21935.95517,,,,
WNAI135,Chemehuevi,xd1190,chem1251,Chemehuevi,Uto-Aztecan,MonthlyMeanPrecipitation,21960.73373,,,,
Nc30,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,MonthlyMeanPrecipitation,22265.34414,,,,
WNAI86,Cahuilla (Pass),xd1439,cahu1264,Cahuilla,Uto-Aztecan,MonthlyMeanPrecipitation,22265.34414,,,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,MonthlyMeanPrecipitation,22406.55923,,,,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,MonthlyMeanPrecipitation,22406.55923,,,,
Ea8,Bakhtiari,xd607,bakh1245,Bakhtiari,Indo-European,MonthlyMeanPrecipitation,22426.97852,,,,
Cd3,Riffians,xd521,tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Afro-Asiatic,MonthlyMeanPrecipitation,22433.82929,,,,
Cj8,Druze,xd594,sunn1238,Sunni Beiruti Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,22585.51764,,,,
Nd67,Tolkepaya,xd1204,yava1252,Yavapai,Cochimi-Yuman,MonthlyMeanPrecipitation,22721.04238,,,,
B190,Guaicura,xd985,guai1237,Guaicurian,,MonthlyMeanPrecipitation,22817.47956,,,,
B381,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,MonthlyMeanPrecipitation,23383.38669,,,,
Na3,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,MonthlyMeanPrecipitation,23634.44654,,,,
SCCS124,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,MonthlyMeanPrecipitation,23707.46593,,,,
WNAI140,Mojave,xd1272,moha1256,Mohave,Cochimi-Yuman,MonthlyMeanPrecipitation,23773.55903,,,,
Ea11,Ghilzai,xd598,ghil1238,Ghilzai,Indo-European,MonthlyMeanPrecipitation,24086.75307,,,,
Cd15,Jebala,xd513,jebl1238,Jebli,Afro-Asiatic,MonthlyMeanPrecipitation,24349.82969,,,,
Cd8,Shawiya,xd526,tach1249,Chaouia of the Aures,Afro-Asiatic,MonthlyMeanPrecipitation,24390.70733,,,,
WNAI84,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,MonthlyMeanPrecipitation,24392.77425,,,,
Nd54,Chemehuevi,xd1190,chem1251,Chemehuevi,Uto-Aztecan,MonthlyMeanPrecipitation,24554.07091,,,,
SCCS151,Tohono O'odham,xd1287,toho1246,Tohono O'odam,Uto-Aztecan,MonthlyMeanPrecipitation,24749.73991,,,,
WNAI146,Tohono O'odham,xd1287,toho1246,Tohono O'odam,Uto-Aztecan,MonthlyMeanPrecipitation,24749.73991,,,,
Cd21,Tunisians,xd520,tuni1260,Tunis (Tunisian Arabic),Afro-Asiatic,MonthlyMeanPrecipitation,24827.00352,,,,
Na43,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,MonthlyMeanPrecipitation,24905.1677,,,,
B79,/Xam,xd8,xamm1241,/Xam,Tuu,MonthlyMeanPrecipitation,25034.5869,,,,
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,25173.21876,,,,
Ni2,Tohono O'odham,xd1287,toho1246,Tohono O'odam,Uto-Aztecan,MonthlyMeanPrecipitation,25309.42568,,,,
SCCS159,Wayuu,xd1331,wayu1243,Wayuu,Arawakan,MonthlyMeanPrecipitation,25502.39621,,,,
Sb6,Wayuu,xd1331,wayu1243,Wayuu,Arawakan,MonthlyMeanPrecipitation,25502.39621,,,,
WNAI144,Maricopa,xd1281,mari1440,Maricopa,Cochimi-Yuman,MonthlyMeanPrecipitation,25505.27835,,,,
Ag19,Diola,xd254,ejam1238,Ejamat,Atlantic-Congo,MonthlyMeanPrecipitation,25523.54441,,,,
B156,Tongva,xd1128,tong1329,Tongva,Uto-Aztecan,MonthlyMeanPrecipitation,25576.7168,,,,
Nc29,Tongva,xd1128,tong1329,Tongva,Uto-Aztecan,MonthlyMeanPrecipitation,25576.7168,,,,
B390,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,MonthlyMeanPrecipitation,25687.10303,,,,
B352,Hare,xd1009,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,25969.80556,,,,
Ni4,Seri,xd1289,seri1257,Seri,,MonthlyMeanPrecipitation,25981.0802,,,,
B387,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,MonthlyMeanPrecipitation,26062.22338,,,,
Eb3,Khalka,xd611,halh1238,Halh Mongolian,Mongolic,MonthlyMeanPrecipitation,26098.48358,,,,
B149,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,MonthlyMeanPrecipitation,26108.22086,,,,
Na14,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,MonthlyMeanPrecipitation,26191.37424,,,,
Cd14,Hamyan,xd512,oran1236,Oran,Afro-Asiatic,MonthlyMeanPrecipitation,26492.35622,,,,
Cd4,Kabyle,xd522,kaby1243,Kabyle,Afro-Asiatic,MonthlyMeanPrecipitation,26627.78514,,,,
Na15,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,26673.46757,,,,
Na16,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,26821.65358,,,,
Ea10,Marri,xd597,east2304,Eastern Balochi,Indo-European,MonthlyMeanPrecipitation,26987.47778,,,,
Nd51,Moapa,xd1187,sout2969,Southern Paiute,Uto-Aztecan,MonthlyMeanPrecipitation,27155.7981,,,,
Nd55,Southern Paiute (Las Vegas),xd1189,sout2969,Southern Paiute,Uto-Aztecan,MonthlyMeanPrecipitation,27155.7981,,,,
SCCS38,Blin,xd445,bili1260,Bilin,Afro-Asiatic,MonthlyMeanPrecipitation,27176.8216,,,,
Ec2,Yakut,xd628,yaku1245,Sakha,Turkic,MonthlyMeanPrecipitation,27199.93796,,,,
Nc28,Chumash,xd1127,cruz1243,Cruzeño,Chumashan,MonthlyMeanPrecipitation,27668.0532,,,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,28089.12127,,,,
B384,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,MonthlyMeanPrecipitation,28188.85978,,,,
Ea9,Iranians,xd608,tehr1242,Tehrani,Indo-European,MonthlyMeanPrecipitation,28353.78921,,,,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,28366.43667,,,,
B198,Hualapai,xd1202,wala1270,Walapai,Cochimi-Yuman,MonthlyMeanPrecipitation,28422.80199,,,,
Cj7,Lebanese,xd593,nort3139,North Levantine Arabic,Afro-Asiatic,MonthlyMeanPrecipitation,28429.43562,,,,
Na22,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,MonthlyMeanPrecipitation,28459.44823,,,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,MonthlyMeanPrecipitation,28465.14554,,,,
Ag25,Soninke,xd261,soni1259,Soninke,Mande,MonthlyMeanPrecipitation,28547.27139,,,,
Nh21,Mojave,xd1272,moha1256,Mohave,Cochimi-Yuman,MonthlyMeanPrecipitation,28744.98832,,,,
Na2,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,MonthlyMeanPrecipitation,28897.45334,,,,
Cc13,Udalan Tuareg,xd491,timb1263,Timbuktu,Afro-Asiatic,MonthlyMeanPrecipitation,29100.00103,,,,
WNAI145,Pima,xd1291,akim1239,Akimel O'odham,Uto-Aztecan,MonthlyMeanPrecipitation,29125.52928,,,,
Na17,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,29515.94233,,,,
B382,Utkuhikhalingmiut,xd1023,nets1241,Natsilingmiutut,Eskimo-Aleut,MonthlyMeanPrecipitation,29633.47349,,,,
Ce6,Spaniards,xd533,stan1288,Spanish,Indo-European,MonthlyMeanPrecipitation,29714.18028,,,,
Nd33,Beatty,xd1167,pana1305,Panamint,Uto-Aztecan,MonthlyMeanPrecipitation,30271.76407,,,,
B27,Nganasan,xd620,ngan1291,Nganasan,Uralic,MonthlyMeanPrecipitation,30395.60826,,,,
Ca32,Nara,xd440,nara1262,Nara,,MonthlyMeanPrecipitation,30558.54838,,,,
WNAI137,Hualapai,xd1202,wala1270,Walapai,Cochimi-Yuman,MonthlyMeanPrecipitation,30622.87469,,,,
Nd32,Tümpisa Shoshone (Saline and Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,MonthlyMeanPrecipitation,30796.11463,,,,
Nd52,Shivwits,xd1188,sout2969,Southern Paiute,Uto-Aztecan,MonthlyMeanPrecipitation,30796.11463,,,,
WNAI118,Tümpisa Shoshone (Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,MonthlyMeanPrecipitation,30796.11463,,,,
Eb1,Kazakh,xd609,kaza1248,Kazakh,Turkic,MonthlyMeanPrecipitation,30907.34359,,,,
Nc27,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,MonthlyMeanPrecipitation,30976.95678,,,,
WNAI81,Tongva,xd1128,tong1329,Tongva,Uto-Aztecan,MonthlyMeanPrecipitation,30976.95678,,,,
SCCS128,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,31319.66652,,,,
Ea3,Hazara,xd602,haza1239,Hazaragi,Indo-European,MonthlyMeanPrecipitation,31604.42897,,,,
B161,Chumash,xd1127,cruz1243,Cruzeño,Chumashan,MonthlyMeanPrecipitation,31614.11989,,,,
WNAI80,Salinan,xd1125,sali1253,Salinan,,MonthlyMeanPrecipitation,31614.11989,,,,
B374,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,MonthlyMeanPrecipitation,31625.59989,,,,
ec12,Nganasan,xd620,ngan1291,Nganasan,Uralic,MonthlyMeanPrecipitation,31637.22867,,,,
Ci1,Kalmyk,xd574,kalm1243,Oirad-Kalmyk,Mongolic,MonthlyMeanPrecipitation,31668.33006,,,,
Na25,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,MonthlyMeanPrecipitation,32236.72407,,,,
Ca37,Blin,xd445,bili1260,Bilin,Afro-Asiatic,MonthlyMeanPrecipitation,32279.50715,,,,
Nd65,Hualapai,xd1202,wala1270,Walapai,Cochimi-Yuman,MonthlyMeanPrecipitation,32393.8968,,,,
B164,Salinan,xd1125,sali1253,Salinan,,MonthlyMeanPrecipitation,32406.00883,,,,
SCCS120,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,MonthlyMeanPrecipitation,32568.67283,,,,
Na21,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,MonthlyMeanPrecipitation,32689.21638,,,,
SCCS136,Southern Valley Yokuts,xd1123,vall1251,Valley Yokuts,Yokutsan,MonthlyMeanPrecipitation,32750.64532,,,,
Ca3,Tigrinya,xd437,tigr1271,Tigrinya,Afro-Asiatic,MonthlyMeanPrecipitation,32945.40648,,,,
Nd40,Tubaduka,xd1175,west2622,Western Shoshoni,Uto-Aztecan,MonthlyMeanPrecipitation,33035.14434,,,,
B344,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,33293.15538,,,,
Nd56,San Juan,xd1192,sout2969,Southern Paiute,Uto-Aztecan,MonthlyMeanPrecipitation,33382.1618,,,,
Nh18,Hopi,xd1268,hopi1249,Hopi,Uto-Aztecan,MonthlyMeanPrecipitation,33382.1618,,,,
Nh2,Hano,xd1270,ariz1237,Arizona Tewa,Kiowa-Tanoan,MonthlyMeanPrecipitation,33382.1618,,,,
B199,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,MonthlyMeanPrecipitation,33427.68987,,,,
Na20,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,33430.84771,,,,
B350,Mountain Dene,xd1007,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,33502.3957,,,,
WNAI159,Hopi,xd1268,hopi1249,Hopi,Uto-Aztecan,MonthlyMeanPrecipitation,33540.54317,,,,
B253,Gros Ventre,xd1208,gros1243,Gros Ventre,Algic,MonthlyMeanPrecipitation,33612.31028,,,,
B257,Assiniboine,xd1210,assi1247,Assiniboine,Siouan,MonthlyMeanPrecipitation,33640.46288,,,,
SCCS66,Khalka,xd611,halh1238,Halh Mongolian,Mongolic,MonthlyMeanPrecipitation,33814.2071,,,,
Nd58,Uintah Ute,xd1194,utee1244,Ute,Uto-Aztecan,MonthlyMeanPrecipitation,33915.98384,,,,
B258,Plains Cree,xd1218,plai1258,Plains Cree,Algic,MonthlyMeanPrecipitation,34025.08243,,,,
B383,Aivilingmiut Inuit,xd1024,cari1277,Kivalliq,Eskimo-Aleut,MonthlyMeanPrecipitation,34141.87438,,,,
Ne7,Sarcee,xd1226,sars1236,Sarsi,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,34208.54456,,,,
B192,Tümpisa Shoshone (Death Valley),xd1166,pana1305,Panamint,Uto-Aztecan,MonthlyMeanPrecipitation,34586.5803,,,,
Nd34,Lida Shoshoni,xd1168,west2622,Western Shoshoni,Uto-Aztecan,MonthlyMeanPrecipitation,34586.5803,,,,
Ne11,Assiniboine,xd1210,assi1247,Assiniboine,Siouan,MonthlyMeanPrecipitation,34597.46853,,,,
Cb18,Kanembu,xd467,kane1243,Kanembu,Saharan,MonthlyMeanPrecipitation,34834.2776,,,,
B356,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,35035.94505,,,,
Ne14,Bungi,xd1213,west1510,Western Ojibwa,Algic,MonthlyMeanPrecipitation,35106.61666,,,,
SCCS25,Wodaabe Fulani,xd474,boro1274,Bororo of Kano and Zaria,Atlantic-Congo,MonthlyMeanPrecipitation,35297.96298,,,,
B256,Blackfoot,xd1211,pieg1239,Piegan,Algic,MonthlyMeanPrecipitation,35301.3316,,,,
Na29,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,35382.7699,,,,
Ne12,Blackfoot,xd1211,pieg1239,Piegan,Algic,MonthlyMeanPrecipitation,35498.67711,,,,
Na33,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,MonthlyMeanPrecipitation,35743.08096,,,,
WNAI79,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,MonthlyMeanPrecipitation,35747.64545,,,,
Nd57,Pahvant,xd1193,utee1244,Ute,Uto-Aztecan,MonthlyMeanPrecipitation,35802.54809,,,,
B260,Sarcee,xd1226,sars1236,Sarsi,Athabaskan-Eyak-Tlingit,MonthlyMeanPrecipitation,35822.55538,,,,
B209,Timponogas,xd991,utee1244,Ute,Uto-Aztecan,MonthlyMeanPrecipitation,35918.02355,,,,
Cb4,Hasania,xd481,khar1296,Khartoum,Afro-Asiatic,MonthlyMeanPrecipitation,35973.0993,,,,
